URL;Judul Iklan;Harga;Lokasi;Merk Mobil;Model Mobil;Varian;Tahun;Kilometer;Transmisi;Bahan Bakar;Kapasitas Mesin (cc);Cluster;Kategori_Mobil
https://www.olx.co.id/item/toyota-rush-15-trd-sportivo-7-bensin-at-2020-iid-943055680;Toyota Rush (2020);200000000;Tambun Selatan, Bekasi Kab.;Toyota;Rush;1.5 TRD Sportivo 7 Bensin-AT;2020.0;87500.0;Automatic;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/toyota-calya-12-e-bensin-mt-2019-iid-943298748;Toyota Calya (2019);113000000;Kemayoran, Jakarta Pusat;Toyota;Calya;1.2 E Bensin-MT;2019.0;42500.0;Manual;Bensin;;0;Mobil Menengah
https://www.olx.co.id/item/dp-rendah-7jt-chevrolet-captiva-20-solar-at-2015-putih-iid-942327840;Chevrolet Captiva (2015);94500000;Pondok Aren, Tangerang Selatan Kota;Chevrolet;Captiva;2.0 Solar-AT;2015.0;102500.0;Automatic;Diesel;>1.500 - 2.000 cc;1;Mobil Murah
https://www.olx.co.id/item/nissan-march-2015-bensin-iid-943202814;Nissan March (2015);89500000;Panongan, Tangerang Kab.;Nissan;March;1.2 L Bensin-AT;2015.0;140000.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/dp-murah-toyota-avanza-15-new-veloz-q-cvt-bensin-at-2021-ctryb-iid-943527095;Toyota Avanza (2021);227000000;Jatinegara, Jakarta Timur;Toyota;Avanza;1.5 New Veloz Q CVT Bensin-AT;2021.0;72500.0;Automatic;Bensin;;0;Mobil Menengah
https://www.olx.co.id/item/toyota-calya-2023-bensin-iid-943562354;Toyota Calya (2023);139000000;Bogor Utara - Kota, Bogor Kota;Toyota;Calya;1.2 G Bensin-AT;2023.0;70000.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/dp-rendah-10jt-nissan-serena-20-x-bensin-at-2019-hitam-iid-942672978;Nissan Serena (2019);186000000;Serpong, Tangerang Selatan Kota;Nissan;Serena;2.0 X Bensin-AT;2019.0;102500.0;Automatic;Bensin;>1.500 - 2.000 cc;1;Mobil Murah
https://www.olx.co.id/item/suzuki-sx4-15-s-cross-bensin-mt-2017-iid-943022623;Suzuki Sx4 (2017);143000000;Koja, Jakarta Utara;Suzuki;Sx4;1.5 S-Cross Bensin-MT;2017.0;52500.0;Manual;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/dp-rendah-daihatsu-ayla-12-r-bensin-mt-2017-4uzs-iid-942436522;Daihatsu Ayla (2016);104000000;Pondok Aren, Tangerang Selatan Kota;Daihatsu;Ayla;1.0 X Bensin-AT;2016.0;72500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/like-new-tdp-8jt-wuling-cortez-15s-t-lux-bensin-at-2022-putih-iid-943018921;Wuling Cortez (2022);157000000;Bumi Serpong Damai, Tangerang Selatan Kota;Wuling;Cortez;1.5S T Lux+ Bensin-AT;2022.0;52500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/honda-crv-prestige-2015-24-at-sunroof-low-km59rb-antik-iid-942987431;Honda Cr-V (2015);199000000;Bogor Utara - Kota, Bogor Kota;Honda;Cr-V;2.4 Prestige Bensin-AT;2015.0;57500.0;Automatic;Bensin;>2.000 - 3.000 cc;1;Mobil Murah
https://www.olx.co.id/item/low-km-11000-raize-10-turbo-gr-sport-2024-putih-nik-2023-non-tss-g-iid-943363679;Toyota Raize (2024);205000000;Penjaringan, Jakarta Utara;Toyota;Raize;1.0 Turbo GR Sport Bensin-AT;2024.0;7500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/dp-rendah-honda-brio-satya-12-e-bensin-mt-2017-tous-iid-942438267;Honda Brio Satya (2018);99000000;Pondok Aren, Tangerang Selatan Kota;Honda;Brio;1.2 E Bensin-AT;2018.0;72500.0;Automatic;Bensin;;0;Mobil Menengah
https://www.olx.co.id/item/honda-all-new-crv-20-th-2017-body-turbo-iid-943506068;Honda Cr-V (2017);225000000;Panongan, Tangerang Kab.;Honda;Cr-V;2.0 Bensin-AT;2017.0;107500.0;Automatic;Bensin;>1.500 - 2.000 cc;1;Mobil Murah
https://www.olx.co.id/item/hyundai-santa-fe-new-model-16-hybrid-calligraphy-2024-service-record-iid-943685560;Hyundai Santa Fe (2024);690000000;Bogor Utara - Kota, Bogor Kota;Hyundai;Santa;1.6 GDi Calligraphy Hybird-AT;2024.0;22500.0;Automatic;Hybrid;>1.500 - 2.000 cc;2;Mobil Mahal
https://www.olx.co.id/item/dp-rendah-8jt-wuling-cortez-15-s-bensin-mt-2021-putih-iid-943081366;Wuling Cortez (2021);146000000;Gading Serpong, Tangerang Kota;Wuling;Cortez;1.5 S Bensin-MT;2021.0;67500.0;Manual;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/honda-hr-v-2022-bensin-iid-943685773;Honda Hr-V (2022);276000000;Tambun Selatan, Bekasi Kab.;Honda;Hr-V;1.5 New E Bensin-AT;2022.0;67500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/wuling-almaz-rs-15-t-ex-7-seater-bensin-at-2023-iid-943359076;Wuling Almaz Rs (2023);237000000;Cilandak, Jakarta Selatan;Wuling;Almaz;1.5 T EX 7-Seater Bensin-AT;2023.0;12500.0;Automatic;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/voxy-20-at-2020-iid-911651493;Toyota Voxy (2020);390000000;Bogor Timur - Kota, Bogor Kota;Toyota;Voxy;2.0 Bensin-AT;2020.0;72500.0;Automatic;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/garansi-5-th-mazda-cx5-cx-5-cx-5-awd-anniversary-edition-20222023-iid-943438068;Mazda Cx-5 (2022);405000000;Bogor Barat - Kota, Bogor Kota;Mazda;Cx-5;2.5 AWD Bensin-AT;2022.0;32500.0;Automatic;Bensin;>2.000 - 3.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/toyota-innova-g-diesel-24-at-2018-iid-943617836;Toyota Kijang Innova (2018);289000000;Cilandak, Jakarta Selatan;Toyota;Kijang;2.4 G Solar-AT;2018.0;87500.0;Automatic;Diesel;>2.000 - 3.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/low-dp-toyota-kijang-innova-20-q-bensin-at-2017-eyb-iid-943552997;Toyota Kijang Innova (2017);269000000;Jatinegara, Jakarta Timur;Toyota;Kijang;2.0 Q Bensin-AT;2017.0;97500.0;Automatic;Bensin;;1;Mobil Murah
https://www.olx.co.id/item/mobil-baru-xl-7-alpha-hyibrid-mt-2025-iid-943059151;Suzuki Xl7 (2025);270000000;Pondok Gede, Bekasi Kota;Suzuki;Xl7;1.5 Alpha Hybrid-MT;2025.0;0.0;Manual;Hybrid;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/honda-brio-satya-cvt-2022-rs-istimewa-siap-pakai-iid-943579261;Honda Brio Satya (2022);172000000;Panongan, Tangerang Kab.;Honda;Brio;1.2 E Bensin-AT;2022.0;57500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/tdp-14jt-garansi-mesin-1th-toyota-yaris-15-s-gr-sport-bensin-at-2023-iid-943028966;Toyota Yaris (2021);272000000;Duren Sawit, Jakarta Timur;Toyota;Yaris;1.5 TRD Sportivo Bensin-AT;2021.0;32500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/low-dp-chevrolet-trax-14-premier-bensin-at-2018-kvj-iid-943644196;Chevrolet Trax (2018);156000000;Jatinegara, Jakarta Timur;Chevrolet;Trax;1.4 Premier Bensin-AT;2018.0;97500.0;Automatic;Bensin;;1;Mobil Murah
https://www.olx.co.id/item/dp-ringan-daihatsu-ayla-x-elegant-10-at-genap-iid-943636958;Daihatsu Ayla (2016);85000000;Bogor Barat - Kota, Bogor Kota;Daihatsu;Ayla;1.0 X Elegant Bensin-AT;2016.0;112500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/dp-murah-nissan-livina-15-ve-bensin-at-2019-hitam-cffpb-iid-943451421;Nissan Livina (2019);166000000;Jatinegara, Jakarta Timur;Nissan;Livina;1.5 VE Bensin-AT;2019.0;72500.0;Automatic;Bensin;;0;Mobil Menengah
https://www.olx.co.id/item/dp-murah-wuling-cortez-15-ct-lux-bensin-at-2020-putih-iid-943500996;Wuling Cortez (2020);134000000;Cempaka Putih, Jakarta Pusat;Wuling;Cortez;1.5 CT Lux Bensin-AT;2020.0;112500.0;Automatic;Bensin;;1;Mobil Murah
https://www.olx.co.id/item/dp-rendah-isuzu-d-max-rodeo-19-double-cabin-solar-mt-2023-tbd-iid-942656756;Isuzu D-Max Rodeo (2023);324000000;Pondok Gede, Bekasi Kota;Isuzu;D-Max;1.9 Double Cabin Solar-MT;2023.0;17500.0;Manual;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/termurah-mazda-2-15-r-skyactiv-bensin-at-2018-sii-iid-942912708;Mazda 2 (2018);153000000;Pondok Gede, Bekasi Kota;Mazda;2;1.5 R Skyactiv Bensin-AT;2018.0;62500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/termurah-toyota-rush-15-s-bensin-at-2012-tzf-iid-942912863;Toyota Rush (2012);102000000;Pondok Gede, Bekasi Kota;Toyota;Rush;1.5 S Bensin-AT;2012.0;162500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/termurah-mitsubishi-xpander-15-ultimate-bensin-at-2019-ert-iid-942912812;Mitsubishi Xpander (2019);197000000;Pondok Gede, Bekasi Kota;Mitsubishi;Xpander;1.5 Ultimate Bensin-AT;2019.0;67500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/toyota-camry-24-v-at-hitam-iid-943674284;Toyota Camry (2010);110000000;Bogor Barat - Kota, Bogor Kota;Toyota;Camry;2.4 V Bensin-AT;2010.0;142500.0;Automatic;Bensin;>2.000 - 3.000 cc;1;Mobil Murah
https://www.olx.co.id/item/dp-murah-suzuki-baleno-14-bensin-mt-2019-abu-iid-943498606;Suzuki Baleno (2019);145000000;Cilandak, Jakarta Selatan;Suzuki;Baleno;1.4 Bensin-MT;2019.0;67500.0;Manual;Bensin;;0;Mobil Menengah
https://www.olx.co.id/item/low-km-10rb-byd-seal-premium-at-20242025-iid-943631947;Byd Seal (2024);439000000;Bekasi Barat, Bekasi Kota;Byd;Seal;Premium Listrik-AT;2024.0;12500.0;Automatic;Listrik;<1.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/dp-murah-honda-br-v-15-e-prestige-bensin-at-2016-abu-abu-iid-943498732;Honda Br-V (2016);149000000;Cilandak, Jakarta Selatan;Honda;Br-V;1.5 E Prestige Bensin-AT;2016.0;87500.0;Automatic;Bensin;;1;Mobil Murah
https://www.olx.co.id/item/low-km-30000-honda-hrv-e-cvt-2018-grey-istimewa-tt-2017-abu-at-iid-943582911;Honda Hr-V (2018);180000000;Pademangan, Jakarta Utara;Honda;Hr-V;1.5 E Bensin-AT;2018.0;32500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/honda-cr-v-2009-bensin-iid-943690257;Honda Cr-V (2009);94999999;Medan Satria, Bekasi Kota;Honda;Cr-V;2.4 Bensin-AT;2009.0;140000.0;Automatic;Bensin;--;1;Mobil Murah
https://www.olx.co.id/item/dp-murah-toyota-rush-15-s-bensin-at-2020-hitam-ckyub-iid-943554215;Toyota Rush (2020);207000000;Jatinegara, Jakarta Timur;Toyota;Rush;1.5 S Bensin-AT;2020.0;127500.0;Automatic;Bensin;;1;Mobil Murah
https://www.olx.co.id/item/toyota-alphard-25-g-at-2018-hitam-km-54rban-good-condition-siap-pakai-iid-943689641;Toyota Alphard (2018);555000000;Bekasi Barat, Bekasi Kota;Toyota;Alphard;2.5 G Bensin-AT;2018.0;52500.0;Automatic;Bensin;>2.000 - 3.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/baru-25rban-km-chery-omoda-rz-luxury-at-2023-2024-putih-pajak-panjang-iid-943689522;Chery Omoda 5 (2023);235000000;Bekasi Barat, Bekasi Kota;Chery;Omoda;1.5 Luxury Bensin-AT;2023.0;22500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/mercedes-c300-amg-2023-reg-2024-km7rblike-newperfect1st-hand-iid-943320173;Mercedes-Benz C300 (2023);865000000;Bekasi Barat, Bekasi Kota;Mercedes-Benz;C300;2.0 AMG Line Bensin-AT;2023.0;7500.0;Automatic;Bensin;>1.500 - 2.000 cc;2;Mobil Mahal
https://www.olx.co.id/item/wuling-almaz-15-smart-enjoy-6-7-seater-bensin-mt-2021-silver-iid-943023929;Wuling Almaz (2021);156500000;Bumi Serpong Damai, Tangerang Selatan Kota;Wuling;Almaz;1.5 Smart Enjoy 6 7-Seater Bensin-MT;2021.0;37500.0;Manual;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/mobil-baru-hyundai-creta-iid-941631014;Hyundai Creta (2025);331640000;Tanah Sereal, Bogor Kota;Hyundai;Creta;1.5 Prime IVT Two tone Bensin-AT;2025.0;0.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/toyota-avanza-s-2011-15-at-low-km53rb-pajak-panjang-iid-943689339;Toyota Avanza (2011);105000000;Bekasi Barat, Bekasi Kota;Toyota;Avanza;1.5 S Bensin-AT;2011.0;52500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/honda-crv-24-at-2011-iid-941123855;Honda Cr-V (2011);97500000;Bekasi Barat, Bekasi Kota;Honda;Cr-V;2.4 Bensin-AT;2011.0;157500.0;Automatic;Bensin;>2.000 - 3.000 cc;1;Mobil Murah
https://www.olx.co.id/item/garansi-5th-suzuki-xl-7-xl7-beta-hybrid-cruise-control-15-20242025-iid-943380143;Suzuki Xl7 (2024);215000000;Bogor Tengah - Kota, Bogor Kota;Suzuki;Xl7;1.5 Beta Hybrid-AT;2024.0;17500.0;Automatic;Hybrid;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/daihatsu-terios-r-matic-tahun-2021-iid-943687716;Daihatsu Terios (2021);180000000;Bekasi Jaya, Bekasi Kab.;Daihatsu;Terios;1.5 R Bensin-AT;2021.0;77500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/dp-murah-nissan-juke-15-rx-red-interior-bensin-at-2018-putih-iid-943692845;Nissan Juke (2018);138000000;Bekasi Barat, Bekasi Kota;Nissan;Juke;1.5 RX Red Interior Bensin-AT;2018.0;62500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/free-detailing-2-th-br-v-15-prestige-cvt-2017-putih-iid-943672086;Honda Br-V (2017);162000000;Tanah Sereal, Bogor Kota;Honda;Br-V;1.5 Prestige Bensin-AT;2017.0;67500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/kondisi-terawat-toyota-calya-12-g-bensin-mt-2016-kfb-iid-942938882;Toyota Calya (2016);98000000;Pondok Gede, Bekasi Kota;Toyota;Calya;1.2 G Bensin-MT;2016.0;72500.0;Manual;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/toyota-avanza-15-new-veloz-q-cvt-tss-bensin-at-2021-ffz-iid-942939023;Toyota Avanza (2021);220000000;Pondok Gede, Bekasi Kota;Toyota;Avanza;1.5 New Veloz Q CVT TSS Bensin-AT;2021.0;77500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/mobil-baru-suzuki-jimny-3d-4x4-iid-943026388;Suzuki Jimny (2025);452000000;Bekasi Utara, Bekasi Kota;Suzuki;Jimny;4 AT-AT;2025.0;0.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/daihatsu-terios-r-adventure-at-2015-iid-942270979;Daihatsu Terios (2015);137000000;Tanah Sereal, Bogor Kota;Daihatsu;Terios;1.5 ADVENTURE R Bensin-AT;2015.0;127500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/mercy-e-300-20-at-amg-line-iid-937917696;Mercedes-Benz E300 (2022);950000000;Pondok Gede, Bekasi Kota;Mercedes-Benz;E300;2.0 AMG Line Bensin-AT;2022.0;17500.0;Automatic;Bensin;>1.500 - 2.000 cc;2;Mobil Mahal
https://www.olx.co.id/item/toyota-yaris-cross-gr-tss-hybrid-matic-tahun-2023-iid-943687422;Toyota Yaris Cross (2023);325000000;Bekasi Jaya, Bekasi Kab.;Toyota;Yaris;1.5 S GR HV TSS One Tone Hybrid-AT;2023.0;27500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/mazda-cx-3-touring-2018-iid-934452240;Mazda Cx-3 (2018);220000000;Bogor Tengah - Kota, Bogor Kota;Mazda;Cx-3;2.0 Touring Bensin-AT;2018.0;82500.0;Automatic;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/km-900-peraktoyota-fortuner-vrz-28-gr-legender-tetradrive-4x4-2025-iid-943495253;Toyota Fortuner (2025);705000000;Pademangan, Jakarta Utara;Toyota;Fortuner;2.8 VRZ GR Sport 4x4 Solar-AT;2025.0;2500.0;Automatic;Diesel;>2.000 - 3.000 cc;2;Mobil Mahal
https://www.olx.co.id/item/honda-all-new-city-rs-matic-2022-termurah-iid-937922889;Honda City (2022);209000000;Bogor Barat - Kota, Bogor Kota;Honda;City;1.5 Hatchback RS Bensin-AT;2022.0;22500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/honda-brio-e-satya-2020-12-at-km63rb-pajak-panjang-iid-943686955;Honda Brio (2020);143000000;Bekasi Selatan, Bekasi Kota;Honda;Brio;1.2 Satya E Bensin-AT;2020.0;62500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/apv-l-manual-2007-siap-pake-mudik-iid-943669625;Suzuki Apv (2007);60000000;Tanah Sereal, Bogor Kota;Suzuki;Apv;1.5 L Bensin-MT;2007.0;222500.0;Manual;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/km-8000toyota-alphard-25-g-bensin-modellista-tss-2024-hybrid-hev-iid-943686409;Toyota Alphard (2024);1200000000;Kebayoran Baru, Jakarta Selatan;Toyota;Alphard;2.5 HEV Hybrid Bensin-AT;2024.0;7500.0;Automatic;Bensin;>2.000 - 3.000 cc;2;Mobil Mahal
https://www.olx.co.id/item/honda-odyssey-2013-bensin-iid-943668859;Honda Odyssey (2013);195000000;Tanah Sareal, Bogor Kota;Honda;Odyssey;2.4 Bensin-AT;2013.0;120000.0;Automatic;Bensin;--;1;Mobil Murah
https://www.olx.co.id/item/hyundai-ioniq-5-signature-2023-long-range-panoramic-low-km30rb-iid-943686321;Hyundai Ioniq 5 (2023);465000000;Bekasi Barat, Bekasi Kota;Hyundai;Ioniq;Signature Long Range Listrik-AT;2023.0;27500.0;Automatic;Listrik;;0;Mobil Menengah
https://www.olx.co.id/item/yaris-15-g-at-matic-2014-very-low-km-iid-943691843;Toyota Yaris (2014);139000000;Bekasi Barat, Bekasi Kota;Toyota;Yaris;1.5 G Bensin-AT;2014.0;32500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/like-new-tdp-18jt-mazda-cx5-25-elite-bensin-at-2022-hitam-iid-943028373;Mazda Cx-5 (2022);357000000;Serpong, Tangerang Selatan Kota;Mazda;Cx-5;2.5 Elite Bensin-AT;2022.0;52500.0;Automatic;Bensin;>2.000 - 3.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/kondisi-terawat-daihatsu-sirion-13-bensin-mt-2011-fmz-iid-943675146;Daihatsu Sirion (2011);67000000;Cibitung, Bekasi Kab.;Daihatsu;Sirion;1.3 Bensin-MT;2011.0;97500.0;Manual;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/dp-rendah-mazda-2-15-r-skyactiv-bensin-at-2018-tzw-iid-943680929;Mazda 2 (2018);156000000;Cibitung, Bekasi Kab.;Mazda;2;1.5 R Skyactiv Bensin-AT;2018.0;107500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/like-new-tdp-13jt-toyota-yaris-15-s-gr-sport-bensin-at-2023-merah-iid-943200531;Toyota Yaris (2023);251000000;Bumi Serpong Damai, Tangerang Selatan Kota;Toyota;Yaris;1.5 S GR Sport Bensin-AT;2023.0;22500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/km-low-nissan-leaf-ev-two-tone-at-20232024-iid-943414259;Nissan Leaf (2023);295000000;Bekasi Selatan, Bekasi Kota;Nissan;Leaf;Two Tone EV Listrik-AT;2023.0;27500.0;Automatic;Listrik;;0;Mobil Menengah
https://www.olx.co.id/item/garansi-5th-hyundai-palisade-signature-22-panoramic-20212022-iid-943439396;Hyundai Palisade (2021);545000000;Bogor Tengah - Kota, Bogor Kota;Hyundai;Palisade;2.2 Signature Solar-AT;2021.0;32500.0;Automatic;Diesel;>2.000 - 3.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/wuling-almaz-rs-pro-2023-facelift-at-hitam-km-15rb-iid-941586530;Wuling Almaz Rs (2023);262000000;Pondok Gede, Bekasi Kota;Wuling;Almaz;1.5 Pro Bensin-AT;2023.0;12500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/garansi-5th-honda-hrv-hr-v-hr-v-15-e-cvt-at-20212022-iid-943606308;Honda Hr-V (2021);205000000;Bogor Barat - Kota, Bogor Kota;Honda;Hr-V;1.5 E Bensin-AT;2021.0;62500.0;Automatic;Bensin;>1.000 - 1.500 cc;0;Mobil Menengah
https://www.olx.co.id/item/toyota-yaris-2021-bensin-iid-943685774;Toyota Yaris (2021);207000000;Bekasi Barat, Bekasi Kota;Toyota;Yaris;1.5 TRD Sportivo Bensin-AT;2021.0;70000.0;Automatic;Bensin;--;0;Mobil Menengah
