URL;Judul Iklan;Harga;Lokasi;Merk Mobil;Model Mobil;Varian;Tahun;Kilometer;Transmisi;Bahan Bakar;Kapasitas Mesin (cc);Deskripsi
https://www.olx.co.id/item/toyota-rush-15-trd-sportivo-7-bensin-at-2020-iid-943055680;Toyota Rush (2020);Rp200.000.000;Tambun Selatan, Bekasi Kab.;Toyota;Rush;1.5 TRD Sportivo 7 Bensin-AT;2020;85.000-90.000 KM;AUTOMATIC;BENSIN;>1.500 - 2.000 cc;Toyota Rush 1.5 TRD Sportivo 7 Bensin-AT 2020 Hitam . Harga Credit : Rp200,000,000 Harga Cash : Rp215,000,000 . TDP : Rp16,000,000 . Angsuran 4 Tahun : Rp6,440,000 Angsuran 5 Tahun : Rp5,704,000 . Keunggulan Unit : 1. Pajak Jun 2026 2. Odometer 85rb+ Km 3. Plat : Ganjil 4. Surat-surat Jaminan Asli dan Sesuai 5. Garansi 1 Tahun (S&K Berlaku) . Keunggulan Model : - Mobil dengan 7 penumpang cocok untuk anda berjiwa SUV, cocok Sekali ! - MPV multi fungsi buat Buat Keluarga dan Adventure - ⁠Jaringan begkel luas ada dimana-mana - Free Service 18 bulan - Garansi Mesin, Transmisi & AC 1 Tahun - Garansi beli kembali jika bekas banjir dan tabrak - *SK berlaku . GRATIS HOME TEST DRIVE . Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT . Kunjungi kami di OLXmobbi Cempaka Mas Sebelah Maxi Pool & Cafe, Blue Zone, ITC Cempaka Mas, Jl. Cemp. Mas Tim. No.586 Basement 1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta KODE POS 153321 . Rizky Dwi - Sales Advisor OLXmobbi ITC Cempaka Mas Ahlinya Mobil Bekas Kualitas
https://www.olx.co.id/item/toyota-calya-12-e-bensin-mt-2019-iid-943298748;Toyota Calya (2019);Rp113.000.000;Kemayoran, Jakarta Pusat;Toyota;Calya;1.2 E Bensin-MT;2019;40.000-45.000 KM;MANUAL;BENSIN;;Toyota Calya 1.2 E Bensin-MT 2019 Abu . Harga Credit : Rp113,000,000 . TDP : Rp8,000,000 . Angsuran 4 Tahun : Ask Me Angsuran 5 Tahun : Ask Me . . Keunggulan Unit : 1. Pajak Sep 2026 2. Odometer 41rb+ Km 3. Plat : Genap 4. Surat-surat Jaminan Asli dan Sesuai 5. Garansi 1 Tahun (S&K Berlaku) . Keunggulan Model : - Car of the Year - Warta Ekonomi (2018), Part mudah dan murah bengkel dimana-mana - LCGC of the Year - Indonesia Automotive Award (2014) - cocok buat kendaraan dalam kota dengan konsumsi BBM sd 15-16 KM/L (tergantung gaya mengemudi) - ⁠Good Design Award - Japan Design Foundation (Beberapa Tahun) - Free Service 18 bulan - Garansi Mesin, Transmisi & AC 1 Tahun - Garansi beli kembali jika bekas banjir dan tabrak - *SK berlaku . GRATIS HOME TEST DRIVE . Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT . Kunjungi kami di OLXmobbi Cempaka Mas Sebelah Maxi Pool & Cafe, Blue Zone, ITC Cempaka Mas, Jl. Cemp. Mas Tim. No.586 Basement 1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta KODE POS 150000 . Rizky Dwi - Sales Advisor OLXmobbi ITC Cempaka Mas Ahlinya Mobil Bekas Kualitas
https://www.olx.co.id/item/dp-rendah-7jt-chevrolet-captiva-20-solar-at-2015-putih-iid-942327840;Chevrolet Captiva (2015);Rp94.500.000;Pondok Aren, Tangerang Selatan Kota;Chevrolet;Captiva;2.0 Solar-AT;2015;100.000-105.000 KM;AUTOMATIC;DIESEL;>1.500 - 2.000 cc;1481097 . DP Rendah 7JT - Chevrolet Captiva 2.0 Solar-AT 2015 Putih . Harga Credit : Rp 137,000,000 Harga Cash : Rp 144,000,000 . TDP : Rp 7,000,000 . Angsuran 47x : Rp 4,795,000 Angsuran 59x : Rp 4,247,000 . Beli Mobil Terus Untung!! Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000! *S&K berlaku . Spesifikasi Kendaraan: 1. STNK dan BPKB asli & sesuai atas nama : 2. Pajak : Agustus 2023 3. Odometer : 102,803 Km 4. Transmisi : OTOMATIS 5. Plat : Genap 6. Warna : Putih 7. Kelengkapan Dokumen : . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - Jaminan 7 hari jaminan uang kembali - Test Drive dari Rumah, - Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi *S&K berlaku . Pembayaran Pelunasan hanya melalui no rekening BCA 2061/888/995 A/N PT Serasi Mitra Mobil . Kunjungi Kami di : OLXmobbi ITC BSD Lantai 2, Parkir 2 ITC BSD Jl. Pahlawan Seribu No.12, Lengkong Wetan, Kec. Serpong, Kota Tangerang Selatan, Banten 15310 . Sales Advisor OLXmobbi Serpong Ahlinya Mobil Bekas Berkualitas
https://www.olx.co.id/item/nissan-march-2015-bensin-iid-943202814;Nissan March (2015);Rp89.500.000;Panongan, Tangerang Kab.;Nissan;March;1.2 L Bensin-AT;2015;140000 KM;OTOMATIS;BENSIN;>1.000 - 1.500 cc;Merek mobil: Nissan Tahun pembuatan: 2015 Model mobil: March Varian mobil: 1.2 L Bensin-AT Jenis bahan bakar mobil: Bensin Jarak tempuh mobil: 127000 Warna mobil: Merah Transmisi mobil: Otomatis Tipe penjual: Individual Mobil Terawat. Plat kaleng sampai Juni 2030. Pajak hidup sampai 2030. STNK, BPKB, Faktur lengkap. Harga NETT 89.5 jt. Maaf Nego tidak akan digubris. Lokasi : Citra Raya Tangerang Waspada Penipuan Segitiga! Transfer hanya ke rek an. Inisial SWY
https://www.olx.co.id/item/dp-murah-toyota-avanza-15-new-veloz-q-cvt-bensin-at-2021-ctryb-iid-943527095;Toyota Avanza (2021);Rp227.000.000;Jatinegara, Jakarta Timur;Toyota;Avanza;1.5 New Veloz Q CVT Bensin-AT;2021;70.000-75.000 KM;AUTOMATIC;BENSIN;;Toyota Avanza 1.5 New Veloz Q CVT Bensin-AT 2021 . Khusus Harga Kredit : Rp 227,000,000 Khusus Harga Cash : Rp 238,000,000 TDP : Rp Call Me for Info Angsuran 4 tahun : Rp Call Me for Info Angsuran 5 tahun : Rp Call Me for Info . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 71,329 km - Transmisi : AT - Pajak : 01-Dec-2026 - Plat : Ganjil/Genap - KN : CTRYB . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi
https://www.olx.co.id/item/toyota-calya-2023-bensin-iid-943562354;Toyota Calya (2023);Rp139.000.000;Bogor Utara - Kota, Bogor Kota;Toyota;Calya;1.2 G Bensin-AT;2023;70000 KM;OTOMATIS;BENSIN;>1.000 - 1.500 cc;Merek mobil: Toyota Tahun pembuatan: 2023 Model mobil: Calya Varian mobil: 1.2 G Bensin-AT Jenis bahan bakar mobil: Bensin Jarak tempuh mobil: 60000 Warna mobil: Hitam Transmisi mobil: Otomatis Tipe penjual: Individual Surat lengkap smua kunci 2 Mobil mulus cek sendiri
https://www.olx.co.id/item/dp-rendah-10jt-nissan-serena-20-x-bensin-at-2019-hitam-iid-942672978;Nissan Serena (2019);Rp186.000.000;Serpong, Tangerang Selatan Kota;Nissan;Serena;2.0 X Bensin-AT;2019;100.000-105.000 KM;AUTOMATIC;BENSIN;>1.500 - 2.000 cc;1480029 . DP Rendah 10JT - Nissan Serena 2.0 X Bensin-AT 2019 Hitam . Harga Credit : Rp 186,000,000 Harga Cash : Rp 195,000,000 . TDP : Rp 10,000,000 . Angsuran 47x : Rp 6,475,000 Angsuran 59x : Rp 5,735,000 . Beli Mobil Terus Untung!! Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000! *S&K berlaku . Spesifikasi Kendaraan: 1. STNK dan BPKB asli & sesuai atas nama : 2. Pajak : Oktober 2025 3. Odometer : 103,780 Km 4. Transmisi : OTOMATIS 5. Plat : Ganjil 6. Warna : Hitam 7. Kelengkapan Dokumen : . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - Jaminan 7 hari jaminan uang kembali - Test Drive dari Rumah, - Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi *S&K berlaku . Pembayaran Pelunasan hanya melalui no rekening BCA 2061/888/995 A/N PT Serasi Mitra Mobil . Kunjungi Kami di : OLXmobbi ITC BSD Lantai 2, Parkir 2 ITC BSD Jl. Pahlawan Seribu No.12, Lengkong Wetan, Kec. Serpong, Kota Tangerang Selatan, Banten 15310 . Sales Advisor OLXmobbi Serpong Ahlinya Mobil Bekas Berkualitas
https://www.olx.co.id/item/suzuki-sx4-15-s-cross-bensin-mt-2017-iid-943022623;Suzuki Sx4 (2017);Rp143.000.000;Koja, Jakarta Utara;Suzuki;Sx4;1.5 S-Cross Bensin-MT;2017;50.000-55.000 KM;MANUAL;BENSIN;>1.500 - 2.000 cc;Suzuki SX4 1.5 S-Cross Bensin-MT 2017 Putih . Harga Credit : Rp143,000,000 Harga Cash : Rp150,000,000 . TDP : Rp11,000,000 . Angsuran 4 Tahun : Rp4,620,000 Angsuran 5 Tahun : Rp4,092,000 . Keunggulan Unit : 1. Pajak Mar 2026 2. Odometer 73rb+ Km 3. Plat : Genap 4. Surat-surat Jaminan Asli dan Sesuai 5. Garansi 1 Tahun (S&K Berlaku) . Keunggulan Model : - Best Affordable Small Car – Top Gear Car of the Year Awards 2009 - Part mudah dan murah bengkel dimana-mana (nyaman dikantong) - Mobil dengan mesin yang bandel dan teruji - ⁠Jaringan begkel luas ada dimana-mana - Free Service 18 bulan - Garansi Mesin, Transmisi & AC 1 Tahun - Garansi beli kembali jika bekas banjir dan tabrak - *SK berlaku . GRATIS HOME TEST DRIVE . Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT . Kunjungi kami di OLXmobbi Cempaka Mas Sebelah Maxi Pool & Cafe, Blue Zone, ITC Cempaka Mas, Jl. Cemp. Mas Tim. No.586 Basement 1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta KODE POS 154431 . Sandi - Sales Advisor OLXmobbi ITC Cempaka Mas Ahlinya Mobil Bekas Kualitas
https://www.olx.co.id/item/dp-rendah-daihatsu-ayla-12-r-bensin-mt-2017-4uzs-iid-942436522;Daihatsu Ayla (2016);Rp104.000.000;Pondok Aren, Tangerang Selatan Kota;Daihatsu;Ayla;1.0 X Bensin-AT;2016;70.000-75.000 KM;AUTOMATIC;BENSIN;>1.000 - 1.500 cc;Daihatsu Ayla 1.2 R Bensin-MT 2017 Putih . Khusus Harga Kredit : Rp 104,000,000 Khusus Harga Cash : Rp 109,000,000 TDP : Rp Ask me Angsuran 4 tahun : Rp Ask me Angsuran 5 tahun : Rp Ask me . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000 Dapatkan juga TDP terendah Dan Promo Trade In Suka- Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesiffikasi - Dokumen Lengkap - Odometer : 27,423 km - Transmisi : MT - Pajak : 02 Aug 2026 - Plat : - Warna : Putih - KN : 4UZS . Mohon lakukan pembayaran booking fee / pelunasan melalui no rekening Bank BCA an PT. Serasi Mitra Mobil No. Rek: 2061/888/995 TDP promo hanya Berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji= 3x Angsuran. * Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi - FREE HOME TEST DRIVE, - Pilih Mobil? Pilih Yang Pasti . Kunjungi Kami Di : OLX MOBBI DUC . Showroom Daihatsu, Kav. Blok CBD A1, Bintaro Tangerang Selatan . ABDUL - Sales Advisor OLXmobbi Ahlinya Mobil Bekas Berkualitas
https://www.olx.co.id/item/like-new-tdp-8jt-wuling-cortez-15s-t-lux-bensin-at-2022-putih-iid-943018921;Wuling Cortez (2022);Rp157.000.000;Bumi Serpong Damai, Tangerang Selatan Kota;Wuling;Cortez;1.5S T Lux+ Bensin-AT;2022;50.000-55.000 KM;AUTOMATIC;BENSIN;>1.000 - 1.500 cc;1510437 . Like New TDP 8JT - Wuling Cortez 1.5S T Lux+ Bensin-AT 2022 Putih . Harga Credit : Rp 157,000,000 Harga Cash : Rp 165,000,000 . TDP : Rp 8,000,000 . Angsuran 47x : Rp 5,495,000 Angsuran 59x : Rp 4,867,000 . Beli Mobil Terus Untung!! Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000! *S&K berlaku . Spesifikasi Kendaraan: 1. STNK dan BPKB asli & sesuai atas nama : 2. Pajak : Mei 2026 3. Odometer : 52,895 Km 4. Transmisi : Automatic 5. Plat : Genap 6. Warna : Putih 7. Kelengkapan Dokumen : . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - Jaminan 7 hari jaminan uang kembali - Test Drive dari Rumah, - Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi *S&K berlaku . Pembayaran Pelunasan hanya melalui no rekening BCA 2061/888/995 A/N PT Serasi Mitra Mobil . Kunjungi Kami di : OLXmobbi ITC BSD Lantai 2, Parkir 2 ITC BSD Jl. Pahlawan Seribu No.12, Lengkong Wetan, Kec. Serpong, Kota Tangerang Selatan, Banten 15310 . Sales Advisor OLXmobbi Serpong Ahlinya Mobil Bekas Berkualitas
